hand,timestamp,FC3,FC4,C3,C4,CP3,CP4,FCz,Pz
Left,2025-10-28 18:44:25,"[-62255.777, -61922.02, -60832.375, -61029.582, -62061.293, -62021.53, -60920.484, -60848.87, -61886.324, -62107.05]","[-64230.53, -63833.477, -63505.082, -63913.785, -64249.33, -63936.695, -63520.664, -63830.145, -64245.418, -64029.566]","[-86091.97, -86226.33, -86309.65, -86184.664, -86088.08, -86191.73, -86304.84, -86211.016, -86090.29, -86168.055]","[-82263.875, -82249.19, -82297.266, -82330.35, -82282.02, -82245.55, -82282.83, -82333.73, -82301.16, -82256.07]","[-85407.29, -85555.125, -85639.86, -85501.81, -85403.76, -85518.87, -85636.62, -85530.984, -85406.4, -85494.35]","[-90200.82, -90316.875, -90396.47, -90296.266, -90208.51, -90292.266, -90395.75, -90324.43, -90217.56, -90276.35]","[-69216.05, -68768.09, -68462.97, -68916.22, -69238.59, -68876.61, -68470.91, -68826.41, -69240.875, -68976.9]","[-85415.6, -85397.66, -85448.305, -85479.06, -85430.266, -85392.85, -85433.06, -85477.01, -85438.695, -85395.0]"
Left,2025-10-28 18:44:25,"[-61044.445, -60697.504, -61708.605, -62152.266, -61208.086, -60590.504, -61471.098, -62154.613, -61365.33, -60544.84]","[-63553.43, -63736.6, -64221.793, -64113.633, -63612.664, -63660.293, -64176.574, -64185.74, -63683.54, -63594.355]","[-86304.6, -86230.21, -86093.375, -86149.48, -86300.71, -86275.41, -86122.75, -86140.695, -86297.41, -86301.02]","[-82286.83, -82331.58, -82309.695, -82268.37, -82285.29, -82341.305, -82331.11, -82282.29, -82289.11, -82339.78]","[-85639.01, -85553.9, -85409.37, -85474.28, -85635.14, -85601.52, -85438.914, -85463.03, -85630.12, -85627.66]","[-90400.36, -90341.055, -90219.62, -90259.516, -90390.164, -90374.83, -90240.05, -90246.94, -90381.05, -90390.88]","[-68495.695, -68724.46, -69220.07, -69064.37, -68546.516, -68639.66, -69176.34, -69144.49, -68614.36, -68569.03]","[-85429.44, -85474.66, -85450.25, -85406.04, -85428.45, -85486.28, -85469.805, -85417.62, -85425.39, -85477.586]"
Left,2025-10-28 18:44:25,"[-61253.258, -62096.88, -61540.7, -60537.508, -60992.145, -61988.918, -61702.46, -60604.273, -60797.215, -61851.39]","[-64111.53, -64238.734, -63775.605, -63544.758, -64017.742, -64259.97, -63868.746, -63528.598, -63928.78, -64276.04]","[-86155.36, -86138.17, -86284.26, -86333.97, -86189.51, -86118.57, -86255.2, -86338.89, -86207.68, -86111.93]","[-82350.445, -82306.7, -82293.89, -82340.56, -82360.57, -82304.555, -82286.516, -82333.08, -82365.266, -82323.64]","[-85471.33, -85458.695, -85616.73, -85664.83, -85507.984, -85439.48, -85588.586, -85674.39, -85532.34, -85435.81]","[-90268.33, -90248.25, -90370.2, -90419.76, -90299.57, -90231.914, -90346.16, -90427.38, -90322.375, -90238.53]","[-69115.46, -69211.33, -68716.93, -68524.97, -69039.71, -69263.164, -68821.85, -68498.15, -68939.64, -69269.77]","[-85481.5, -85433.086, -85427.67, -85480.49, -85496.07, -85437.29, -85418.51, -85466.5, -85492.09, -85446.31]"
Left,2025-10-28 18:44:25,"[-61823.184, -60720.168, -60631.477, -61680.51, -61896.63, -60863.598, -60504.785, -61525.5, -62007.54, -61081.082]","[-63971.676, -63548.223, -63846.06, -64266.94, -64057.664, -63584.05, -63762.285, -64251.004, -64155.297, -63647.062]","[-86223.82, -86337.52, -86236.36, -86115.414, -86193.69, -86321.23, -86254.4, -86113.805, -86163.805, -86313.54]","[-82295.26, -82331.555, -82374.6, -82342.35, -82305.29, -82329.7, -82379.08, -82354.24, -82314.234, -82323.17]","[-85561.96, -85682.24, -85570.73, -85447.45, -85537.89, -85674.93, -85599.914, -85452.75, -85511.16, -85670.44]","[-90331.36, -90437.44, -90359.12, -90255.09, -90317.68, -90433.68, -90384.734, -90263.875, -90300.76, -90428.5]","[-68917.0, -68502.555, -68849.99, -69274.805, -69021.74, -68545.625, -68772.164, -69274.74, -69130.55, -68606.195]","[-85421.15, -85463.234, -85503.555, -85463.03, -85421.98, -85446.74, -85498.086, -85472.89, -85426.02, -85442.47]"
Left,2025-10-28 18:44:25,"[-60431.34, -61292.754, -61985.457, -61240.004, -60395.016, -61107.703, -61994.285, -61463.832, -60450.76, -60879.18]","[-63675.63, -64189.67, -64206.75, -63715.86, -63613.89, -64133.703, -64275.035, -63822.836, -63587.426, -64055.676]","[-86291.55, -86136.05, -86146.555, -86297.02, -86315.76, -86160.81, -86139.87, -86294.836, -86347.72, -86209.02]","[-82377.375, -82363.164, -82310.586, -82311.22, -82369.06, -82373.76, -82328.27, -82326.8, -82380.51, -82407.82]","[-85640.22, -85473.695, -85491.445, -85655.15, -85668.42, -85502.06, -85484.76, -85651.664, -85702.4, -85550.5]","[-90415.94, -90278.67, -90280.664, -90411.4, -90434.95, -90304.04, -90282.805, -90415.58, -90470.695, -90357.734]","[-68679.71, -69213.23, -69191.59, -68672.47, -68612.14, -69165.39, -69275.45, -68780.19, -68577.74, -69089.76]","[-85499.36, -85484.9, -85429.484, -85433.22, -85494.17, -85497.81, -85450.09, -85449.94, -85505.836, -85527.07]"
Left,2025-10-28 18:44:25,"[-61877.184, -61608.09, -60524.992, -60697.93, -61760.35, -61749.645, -60664.58, -60558.832, -61606.547, -61843.79]","[-64303.777, -63919.664, -63572.297, -63958.938, -64306.906, -64009.562, -63580.586, -63867.047, -64295.375, -64095.395]","[-86138.016, -86268.21, -86352.7, -86220.734, -86122.86, -86233.836, -86341.7, -86248.586, -86129.9, -86207.77]","[-82352.81, -82333.19, -82371.21, -82395.99, -82351.13, -82325.41, -82354.94, -82400.06, -82368.44, -82331.4]","[-85481.5, -85624.95, -85710.83, -85566.86, -85466.73, -85591.16, -85705.35, -85602.15, -85478.81, -85568.4]","[-90293.18, -90403.266, -90479.52, -90368.75, -90279.1, -90372.26, -90470.63, -90397.14, -90291.98, -90354.4]","[-69322.98, -68893.086, -68564.22, -68991.99, -69327.22, -68977.414, -68557.12, -68888.44, -69320.49, -69075.3]","[-85470.03, -85448.91, -85490.21, -85512.79, -85463.664, -85436.81, -85474.01, -85518.29, -85481.766, -85441.94]"
Left,2025-10-28 18:44:25,"[-60814.023, -60405.566, -61399.15, -61892.293, -60958.84, -60293.406, -61146.37, -61852.375, -61124.957, -60248.547]","[-63615.39, -63772.477, -64261.957, -64174.586, -63667.848, -63686.87, -64198.59, -64231.383, -63747.555, -63634.68]","[-86345.03, -86289.4, -86144.72, -86190.984, -86341.414, -86314.79, -86158.06, -86167.92, -86319.914, -86344.586]","[-82353.484, -82407.73, -82381.51, -82337.055, -82349.1, -82399.016, -82386.2, -82338.87, -82341.945, -82402.86]","[-85713.84, -85649.09, -85495.58, -85551.8, -85714.05, -85679.84, -85512.79, -85530.65, -85694.06, -85714.41]","[-90475.234, -90436.09, -90308.31, -90341.414, -90473.875, -90458.875, -90323.805, -90325.34, -90455.14, -90486.945]","[-68589.46, -68790.734, -69289.555, -69155.54, -68635.1, -68700.59, -69234.91, -69226.26, -68717.06, -68643.86]","[-85468.734, -85523.12, -85494.44, -85444.84, -85463.77, -85516.91, -85503.54, -85453.445, -85458.586, -85518.0]"
Left,2025-10-28 18:44:25,"[-60898.78, -61771.637, -61237.117, -60221.902, -60644.688, -61637.55, -61365.863, -60254.76, -60390.03, -61442.04]","[-64143.047, -64287.73, -63831.465, -63585.305, -64048.723, -64307.914, -63929.05, -63578.22, -63961.773, -64314.33]","[-86189.51, -86157.19, -86302.55, -86346.58, -86202.836, -86135.94, -86270.24, -86361.35, -86236.02, -86135.35]","[-82407.77, -82354.29, -82342.125, -82381.53, -82404.13, -82356.88, -82341.97, -82390.27, -82420.72, -82374.875]","[-85547.5, -85518.31, -85675.06, -85717.195, -85561.49, -85495.22, -85642.19, -85735.91, -85597.305, -85494.016]","[-90356.164, -90320.695, -90442.42, -90485.02, -90366.766, -90304.375, -90419.67, -90507.625, -90402.26, -90309.23]","[-69185.734, -69301.74, -68804.08, -68585.52, -69082.49, -69320.914, -68898.07, -68571.4, -69006.54, -69358.02]","[-85521.91, -85466.08, -85456.28, -85500.2, -85516.12, -85462.945, -85448.51, -85499.18, -85528.81, -85482.7]"
Left,2025-10-28 18:44:25,"[-61454.355, -60357.242, -60221.992, -61268.12, -61531.113, -60494.953, -60071.008, -61050.57, -61550.2, -60632.55]","[-64027.4, -63596.055, -63872.59, -64308.76, -64127.2, -63645.496, -63795.23, -64293.004, -64215.242, -63709.56]","[-86240.41, -86354.87, -86265.69, -86139.625, -86226.7, -86362.94, -86307.73, -86167.516, -86213.12, -86357.95]","[-82344.875, -82373.87, -82417.9, -82387.28, -82362.16, -82385.625, -82436.85, -82418.46, -82373.82, -82379.3]","[-85609.7, -85728.33, -85626.54, -85492.945, -85588.875, -85732.04, -85666.28, -85518.29, -85570.66, -85724.35]","[-90393.984, -90496.89, -90427.6, -90315.84, -90387.08, -90506.84, -90467.21, -90345.195, -90376.4, -90499.69]","[-69018.99, -68596.81, -68924.06, -69365.445, -69132.29, -68643.91, -68837.766, -69345.44, -69219.8, -68695.61]","[-85453.11, -85488.65, -85533.51, -85499.31, -85469.766, -85498.305, -85549.72, -85527.99, -85477.72, -85485.07]"
Left,2025-10-28 18:44:25,"[-59947.246, -60776.383, -61481.09, -60771.688, -59915.617, -60561.895, -61439.67, -60950.637, -59934.234, -60330.285]","[-63719.168, -64237.258, -64274.61, -63791.188, -63665.66, -64164.395, -64316.273, -63879.97, -63625.78, -64079.902]","[-86339.086, -86187.3, -86193.516, -86336.27, -86353.125, -86204.33, -86174.06, -86320.05, -86380.75, -86241.44]","[-82432.63, -82428.3, -82379.234, -82368.39, -82418.62, -82426.664, -82378.2, -82368.32, -82415.77, -82437.414]","[-85698.016, -85534.38, -85546.18, -85699.92, -85711.27, -85549.23, -85519.336, -85673.03, -85729.914, -85574.86]","[-90490.37, -90356.5, -90351.65, -90470.63, -90492.18, -90364.836, -90330.77, -90451.85, -90508.16, -90390.88]","[-68753.61, -69290.836, -69289.13, -68777.32, -68694.96, -69227.4, -69344.766, -68866.4, -68645.43, -69137.945]","[-85541.22, -85533.87, -85480.72, -85479.71, -85534.27, -85540.77, -85492.54, -85489.34, -85544.87, -85567.62]"
Left,2025-10-28 18:44:25,"[-61343.848, -61107.656, -59991.523, -60097.312, -61144.56, -61181.887, -60070.625, -59895.387, -60941.63, -61236.785]","[-64349.375, -63979.297, -63615.992, -63987.703, -64347.586, -64067.008, -63624.242, -63890.426, -64331.383, -64153.797]","[-86170.49, -86307.98, -86402.766, -86283.86, -86175.43, -86275.32, -86394.32, -86303.35, -86171.875, -86249.46]","[-82390.54, -82374.875, -82416.38, -82449.91, -82406.234, -82374.36, -82407.22, -82450.266, -82412.42, -82374.83]","[-85500.72, -85647.95, -85742.836, -85609.57, -85497.28, -85608.164, -85733.49, -85631.61, -85495.18, -85583.29]","[-90324.18, -90440.92, -90527.336, -90429.15, -90330.91, -90412.56, -90520.164, -90446.87, -90327.96, -90386.74]","[-69389.29, -68970.484, -68624.95, -69042.86, -69397.85, -69063.74, -68626.85, -68938.68, -69384.4, -69156.164]","[-85517.35, -85503.67, -85552.914, -85587.22, -85542.49, -85508.52, -85546.18, -85589.1, -85551.59, -85509.86]"
Left,2025-10-28 18:44:25,"[-60208.69, -59782.066, -60733.758, -61281.195, -60400.76, -59696.145, -60500.004, -61237.61, -60531.453, -59639.617]","[-63670.49, -63814.273, -64303.844, -64239.516, -63742.234, -63741.52, -64257.555, -64308.36, -63828.914, -63691.766]","[-86391.234, -86334.664, -86196.89, -86230.93, -86389.47, -86381.49, -86231.78, -86229.61, -86381.71, -86403.28]","[-82399.52, -82445.35, -82426.51, -82378.18, -82395.93, -82453.06, -82446.0, -82391.32, -82394.27, -82444.79]","[-85732.06, -85664.71, -85516.7, -85558.55, -85726.47, -85707.43, -85543.5, -85543.79, -85705.59, -85721.13]","[-90512.18, -90466.83, -90345.484, -90370.16, -90508.78, -90504.72, -90373.47, -90362.36, -90494.79, -90520.19]","[-68663.125, -68851.016, -69353.555, -69245.28, -68723.26, -68764.85, -69305.25, -69318.414, -68801.44, -68701.53]","[-85540.8, -85591.0, -85569.9, -85522.6, -85542.18, -85601.17, -85596.19, -85538.83, -85541.04, -85597.28]"
Left,2025-10-28 18:44:25,"[-60266.426, -61187.543, -60726.156, -59695.855, -60088.484, -61093.664, -60878.016, -59757.633, -59859.246, -60937.293]","[-64192.824, -64365.133, -63925.633, -63662.93, -64123.38, -64397.766, -64033.95, -63657.902, -64030.484, -64407.715]","[-86253.305, -86216.086, -86360.66, -86421.14, -86290.79, -86222.37, -86351.09, -86449.484, -86325.81, -86217.586]","[-82451.27, -82402.26, -82386.9, -82434.69, -82464.59, -82418.39, -82395.664, -82435.625, -82469.58, -82426.59]","[-85557.445, -85523.516, -85679.47, -85738.32, -85593.66, -85523.27, -85663.42, -85765.23, -85629.78, -85518.67]","[-90389.02, -90353.33, -90473.89, -90532.88, -90423.13, -90355.875, -90459.56, -90549.42, -90450.266, -90356.055]","[-69237.61, -69376.26, -68892.88, -68656.336, -69157.51, -69413.21, -68997.65, -68644.89, -69067.16, -69432.836]","[-85602.29, -85545.96, -85535.766, -85589.44, -85617.33, -85568.53, -85549.67, -85599.78, -85635.39, -85587.6]"
Left,2025-10-28 18:44:25,"[-60994.56, -59887.453, -59683.74, -60742.387, -61061.992, -60026.215, -59552.332, -60514.89, -61072.766, -60193.94]","[-64136.79, -63687.137, -63945.59, -64397.855, -64227.78, -63735.777, -63860.812, -64355.387, -64297.88, -63795.5]","[-86324.76, -86451.01, -86364.305, -86232.56, -86304.82, -86449.15, -86395.86, -86246.95, -86276.64, -86433.46]","[-82400.31, -82432.92, -82483.19, -82452.21, -82412.805, -82436.3, -82484.44, -82462.94, -82417.34, -82433.055]","[-85637.29, -85768.36, -85670.33, -85535.56, -85620.414, -85773.5, -85710.24, -85553.9, -85592.945, -85760.6]","[-90445.555, -90553.94, -90486.43, -90372.484, -90429.52, -90557.58, -90514.24, -90385.56, -90409.81, -90547.09]","[-69106.81, -68662.01, -68970.51, -69430.04, -69206.19, -68703.25, -68876.586, -69386.945, -69287.93, -68764.85]","[-85558.055, -85593.08, -85641.76, -85605.93, -85562.45, -85590.555, -85642.01, -85617.195, -85566.3, -85587.42]"
Left,2025-10-28 18:44:25,"[-59484.832, -60307.44, -61068.34, -60397.273, -59468.516, -60066.625, -60956.83, -60509.68, -59471.02, -59816.91]","[-63784.77, -64303.332, -64362.742, -63881.82, -63726.188, -64223.2, -64397.32, -63971.723, -63695.297, -64142.734]","[-86419.0, -86265.58, -86264.125, -86419.47, -86449.77, -86296.89, -86261.484, -86402.39, -86466.85, -86332.79]","[-82485.36, -82480.69, -82428.695, -82427.266, -82477.53, -82483.34, -82437.64, -82429.08, -82475.27, -82503.62]","[-85738.25, -85573.25, -85577.09, -85744.375, -85769.7, -85603.16, -85569.23, -85722.984, -85787.65, -85640.46]","[-90542.086, -90410.75, -90400.445, -90531.0, -90562.3, -90431.83, -90395.55, -90516.336, -90581.54, -90470.23]","[-68799.5, -69344.03, -69370.23, -68858.95, -68736.82, -69267.81, -69414.59, -68946.75, -68701.93, -69192.33]","[-85645.49, -85637.0, -85580.336, -85579.95, -85635.79, -85640.69, -85588.63, -85577.48, -85627.52, -85654.68]"
Left,2025-10-28 18:44:25,"[-60840.04, -60658.23, -59542.434, -59625.38, -60664.848, -60752.848, -59678.49, -59463.285, -60522.2, -60880.25]","[-64433.375, -64080.105, -63697.867, -64059.92, -64437.957, -64177.65, -63732.29, -63980.504, -64435.406, -64279.37]","[-86255.16, -86384.266, -86474.45, -86357.15, -86257.33, -86346.445, -86478.66, -86403.26, -86272.28, -86342.53]","[-82456.5, -82439.695, -82475.08, -82511.11, -82479.52, -82440.66, -82476.57, -82531.18, -82498.63, -82460.164]","[-85562.73, -85705.125, -85799.945, -85670.75, -85570.03, -85671.98, -85811.09, -85723.88, -85586.1, -85665.5]","[-90398.61, -90506.62, -90589.38, -90495.1, -90408.36, -90476.305, -90593.23, -90535.07, -90417.26, -90472.77]","[-69465.58, -69061.39, -68695.445, -69098.72, -69462.54, -69154.086, -68711.01, -69012.15, -69478.27, -69275.41]","[-85604.164, -85581.79, -85620.46, -85650.81, -85612.45, -85575.42, -85617.71, -85671.98, -85638.12, -85598.06]"
Left,2025-10-28 18:44:25,"[-59872.188, -59371.555, -60323.492, -60881.793, -60015.574, -59274.414, -60063.875, -60839.95, -60168.15, -59249.11]","[-63787.453, -63902.88, -64397.926, -64347.97, -63851.2, -63827.395, -64345.04, -64415.96, -63936.516, -63776.277]","[-86492.89, -86445.664, -86295.68, -86332.45, -86484.13, -86480.6, -86323.42, -86313.945, -86466.586, -86492.51]","[-82484.93, -82538.625, -82512.6, -82464.26, -82472.375, -82527.6, -82521.79, -82468.59, -82467.766, -82517.97]","[-85825.16, -85768.54, -85608.01, -85651.484, -85813.53, -85802.36, -85632.26, -85627.72, -85790.71, -85811.74]","[-90605.836, -90573.05, -90439.695, -90462.56, -90591.62, -90593.9, -90456.016, -90440.414, -90570.875, -90600.875]","[-68771.96, -68930.3, -69443.945, -69350.71, -68831.62, -68847.93, -69389.9, -69426.17, -68908.98, -68779.984]","[-85629.33, -85684.81, -85661.66, -85611.9, -85625.33, -85683.266, -85675.11, -85616.75, -85615.9, -85667.93]"
Left,2025-10-28 18:44:25,"[-59836.76, -60760.223, -60339.027, -59281.05, -59583.516, -60606.016, -60444.145, -59329.02, -59391.29, -60454.473]","[-64270.61, -64455.258, -64027.69, -63741.34, -64178.23, -64477.316, -64129.883, -63745.32, -64099.46, -64481.25]","[-86340.81, -86293.42, -86435.805, -86508.336, -86379.26, -86292.62, -86417.97, -86524.66, -86409.68, -86301.92]","[-82530.6, -82479.68, -82467.79, -82518.055, -82550.67, -82502.37, -82477.22, -82517.19, -82550.445, -82509.81]","[-85648.22, -85603.96, -85757.92, -85828.62, -85686.87, -85599.984, -85736.82, -85846.66, -85719.01, -85607.43]","[-90475.64, -90430.77, -90551.766, -90620.875, -90516.02, -90437.7, -90539.14, -90633.555, -90536.66, -90438.89]","[-69305.12, -69460.04, -68988.39, -68736.98, -69219.484, -69501.09, -69103.37, -68738.61, -69138.98, -69515.914]","[-85673.27, -85618.266, -85605.33, -85660.336, -85690.6, -85638.83, -85615.25, -85664.23, -85698.22, -85653.09]"
Left,2025-10-28 18:44:25,"[-60555.996, -59474.348, -59243.21, -60262.227, -60597.188, -59597.797, -59100.0, -60042.62, -60648.418, -59812.395]","[-64223.47, -63772.453, -64010.145, -64465.94, -64317.906, -63830.75, -63935.086, -64437.49, -64402.082, -63902.742]","[-86397.16, -86518.33, -86438.266, -86312.266, -86386.97, -86527.805, -86483.305, -86339.02, -86369.78, -86522.8]","[-82477.086, -82505.97, -82555.54, -82532.07, -82499.22, -82517.14, -82564.86, -82552.46, -82507.016, -82514.73]","[-85713.305, -85839.35, -85747.33, -85614.02, -85698.98, -85849.43, -85795.65, -85643.52, -85680.45, -85843.06]","[-90516.43, -90625.57, -90564.44, -90455.586, -90513.414, -90634.38, -90600.02, -90474.43, -90492.2, -90623.875]","[-69206.63, -68752.38, -69035.76, -69500.13, -69302.234, -68800.86, -68949.52, -69471.7, -69394.45, -68869.91]","[-85617.77, -85652.87, -85699.65, -85671.24, -85636.73, -85661.875, -85710.805, -85691.65, -85642.766, -85654.7]"
Left,2025-10-28 18:44:25,"[-59057.266, -59826.812, -60611.965, -59984.504, -59043.7, -59610.895, -60545.445, -60134.418, -59093.16, -59401.504]","[-63861.035, -64376.242, -64456.777, -63987.234, -63815.08, -64309.008, -64502.195, -64081.6, -63790.18, -64220.293]","[-86515.914, -86366.0, -86350.914, -86497.79, -86534.016, -86381.49, -86330.35, -86470.79, -86535.56, -86412.05]","[-82562.74, -82566.65, -82517.03, -82512.875, -82567.92, -82580.29, -82528.2, -82514.95, -82555.38, -82588.47]","[-85829.96, -85669.12, -85658.63, -85816.484, -85849.07, -85684.945, -85636.33, -85789.59, -85855.4, -85719.81]","[-90622.58, -90496.445, -90477.67, -90605.57, -90647.09, -90520.516, -90471.86, -90592.05, -90652.28, -90550.695]","[-68874.086, -69418.125, -69464.39, -68959.2, -68827.15, -69353.98, -69512.12, -69042.95, -68779.516, -69249.33]","[-85710.06, -85708.37, -85651.52, -85646.836, -85703.9, -85715.01, -85657.83, -85642.875, -85689.95, -85717.13]"
Left,2025-10-28 18:44:25,"[-60410.64, -60279.035, -59180.29, -59182.746, -60245.19, -60358.965, -59277.652, -59025.75, -60050.285, -60434.65]","[-64520.164, -64181.83, -63790.156, -64128.92, -64521.305, -64273.156, -63815.46, -64043.047, -64505.258, -64363.906]","[-86333.32, -86450.2, -86552.19, -86447.09, -86328.16, -86427.625, -86546.695, -86466.875, -86335.6, -86397.984]","[-82545.53, -82514.414, -82551.92, -82595.44, -82551.07, -82522.46, -82544.7, -82594.88, -82567.63, -82521.03]","[-85640.87, -85768.61, -85874.22, -85757.38, -85635.055, -85747.75, -85874.28, -85783.94, -85645.625, -85718.336]","[-90478.164, -90569.85, -90662.92, -90576.51, -90469.4, -90553.82, -90659.234, -90601.52, -90485.09, -90528.3]","[-69529.836, -69143.53, -68766.53, -69150.35, -69545.04, -69244.164, -68789.82, -69060.92, -69528.61, -69341.88]","[-85672.49, -85646.81, -85690.53, -85732.484, -85685.55, -85651.8, -85682.22, -85729.83, -85700.99, -85654.01]"
Left,2025-10-28 18:44:25,"[-59427.5, -58879.523, -59823.64, -60436.03, -59597.24, -58842.598, -59594.555, -60384.6, -59755.355, -58802.613]","[-63865.617, -63953.324, -64463.66, -64440.527, -63943.156, -63901.56, -64415.36, -64502.195, -64035.805, -63856.297]","[-86553.375, -86513.66, -86356.21, -86392.086, -86545.086, -86540.97, -86390.836, -86374.516, -86525.88, -86564.305]","[-82545.195, -82598.66, -82580.35, -82541.17, -82553.15, -82607.22, -82610.17, -82556.15, -82552.88, -82605.945]","[-85882.58, -85833.05, -85667.016, -85711.56, -85874.71, -85863.664, -85701.55, -85688.12, -85851.58, -85886.664]","[-90664.69, -90637.46, -90502.484, -90528.56, -90659.77, -90664.84, -90540.14, -90517.62, -90647.25, -90686.8]","[-68833.805, -68976.5, -69503.11, -69430.58, -68908.82, -68912.75, -69450.89, -69503.305, -69002.74, -68859.625]","[-85683.69, -85739.66, -85719.41, -85673.52, -85688.32, -85744.96, -85740.42, -85682.64, -85683.11, -85739.26]"
Left,2025-10-28 18:44:25,"[-59340.215, -60281.605, -59917.582, -58851.9, -59140.348, -60185.805, -60050.02, -58932.074, -58940.77, -59999.01]","[-64348.1, -64548.598, -64135.984, -63832.69, -64256.75, -64563.035, -64222.395, -63820.758, -64158.47, -64559.08]","[-86420.92, -86365.33, -86499.71, -86580.98, -86450.555, -86364.44, -86490.39, -86590.5, -86485.41, -86369.04]","[-82627.36, -82570.25, -82550.734, -82599.375, -82626.22, -82575.48, -82550.89, -82586.68, -82629.73, -82592.4]","[-85731.73, -85677.055, -85822.74, -85903.99, -85760.266, -85673.03, -85811.43, -85914.945, -85798.22, -85676.61]","[-90569.336, -90512.43, -90624.19, -90700.23, -90591.11, -90511.47, -90612.27, -90700.516, -90617.86, -90514.51]","[-69382.875, -69560.17, -69102.516, -68820.35, -69292.555, -69590.28, -69200.69, -68814.766, -69197.78, -69594.91]","[-85751.73, -85693.95, -85672.74, -85726.25, -85756.2, -85703.27, -85680.74, -85723.66, -85762.17, -85718.805]"
Left,2025-10-28 18:44:25,"[-60155.363, -59086.3, -58805.07, -59824.42, -60213.297, -59221.594, -58672.367, -59585.145, -60211.754, -59395.625]","[-64322.375, -63861.48, -64075.836, -64545.47, -64416.363, -63918.523, -63999.707, -64506.8, -64493.5, -63997.56]","[-86455.81, -86586.234, -86514.17, -86382.14, -86448.45, -86597.48, -86553.13, -86403.93, -86428.25, -86583.1]","[-82553.42, -82584.98, -82635.78, -82615.6, -82582.68, -82602.34, -82648.836, -82634.6, -82584.35, -82591.88]","[-85773.75, -85911.66, -85828.305, -85689.414, -85764.83, -85924.33, -85873.21, -85714.805, -85745.23, -85910.695]","[-90580.58, -90699.78, -90645.31, -90531.94, -90586.08, -90717.28, -90685.68, -90556.84, -90568.24, -90702.195]","[-69304.35, -68841.61, -69102.45, -69580.445, -69400.914, -68886.71, -69015.28, -69544.01, -69489.14, -68971.23]","[-85676.625, -85712.03, -85764.54, -85740.305, -85701.64, -85727.48, -85779.11, -85763.06, -85711.03, -85722.61]"
Left,2025-10-28 18:44:25,"[-58615.305, -59355.15, -60154.87, -59534.81, -58566.11, -59094.3, -60057.19, -59692.57, -58604.91, -58868.305]","[-63939.758, -64455.1, -64553.113, -64086.652, -63893.176, -64381.047, -64594.82, -64186.008, -63869.035, -64289.293]","[-86582.08, -86432.74, -86414.125, -86562.23, -86598.03, -86448.12, -86396.805, -86535.25, -86613.61, -86478.03]","[-82647.836, -82652.664, -82600.0, -82596.78, -82646.23, -82660.98, -82610.84, -82595.555, -82638.89, -82664.51]","[-85904.17, -85742.43, -85728.664, -85890.375, -85923.91, -85760.47, -85710.266, -85862.195, -85941.72, -85793.1]","[-90710.555, -90582.39, -90559.79, -90689.5, -90729.305, -90603.734, -90551.875, -90669.586, -90742.45, -90627.45]","[-68957.32, -69497.72, -69562.0, -69063.6, -68907.26, -69431.36, -69619.36, -69164.234, -68874.375, -69341.82]","[-85781.66, -85779.05, -85718.805, -85716.8, -85772.16, -85780.81, -85725.625, -85711.54, -85759.71, -85782.22]"
Left,2025-10-28 18:44:25,"[-59915.125, -59826.21, -58711.15, -58665.797, -59713.89, -59886.516, -58821.098, -58511.03, -59513.062, -59935.914]","[-64610.29, -64282.03, -63874.156, -64194.188, -64600.34, -64374.363, -63904.4, -64102.344, -64570.188, -64451.95]","[-86390.21, -86501.97, -86613.66, -86509.56, -86394.55, -86485.47, -86612.72, -86540.68, -86404.16, -86455.41]","[-82620.984, -82588.71, -82626.22, -82665.375, -82631.25, -82598.46, -82624.5, -82672.664, -82648.34, -82602.77]","[-85704.68, -85828.4, -85946.64, -85831.95, -85713.15, -85815.45, -85950.37, -85868.74, -85726.9, -85787.445]","[-90549.42, -90641.15, -90745.31, -90659.95, -90557.84, -90629.87, -90743.21, -90685.766, -90565.805, -90606.22]","[-69650.02, -69270.914, -68870.28, -69234.39, -69638.67, -69365.625, -68896.68, -69141.14, -69614.42, -69448.03]","[-85733.16, -85702.58, -85742.7, -85784.01, -85746.86, -85711.74, -85739.17, -85787.42, -85761.14, -85715.01]"
Left,2025-10-28 18:44:25,"[-58983.727, -58399.453, -59287.02, -59921.72, -59114.53, -58293.617, -59005.855, -59845.434, -59285.453, -58301.574]","[-63962.8, -64030.28, -64532.996, -64525.62, -64029.008, -63951.336, -64462.41, -64578.703, -64119.445, -63911.55]","[-86607.375, -86580.35, -86430.71, -86446.87, -86601.09, -86604.83, -86453.305, -86427.87, -86575.305, -86625.68]","[-82623.4, -82680.266, -82664.59, -82615.086, -82622.15, -82672.555, -82676.11, -82623.76, -82616.766, -82673.38]","[-85948.516, -85912.04, -85750.45, -85773.08, -85936.734, -85934.79, -85771.984, -85751.88, -85910.41, -85958.35]","[-90737.94, -90719.74, -90585.81, -90592.984, -90726.29, -90734.805, -90606.84, -90580.22, -90706.555, -90760.42]","[-68943.484, -69054.77, -69579.57, -69530.04, -69003.21, -68972.03, -69516.336, -69601.14, -69101.734, -68928.51]","[-85739.75, -85796.234, -85775.67, -85721.555, -85730.09, -85785.19, -85783.875, -85727.75, -85721.6, -85780.32]"
